Sum_PASSENGERS,AIRLINE_ID,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
520,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,4
530,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,5
1078,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,6
954,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,7
1167,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,8
700,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,9
46,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,10
503,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,11
692,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,12
1107,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,1
972,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,2
914,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,3
763,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,4
711,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,5
901,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,6
1190,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,7
1346,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,8
766,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,9
754,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,10
1063,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,11
1872,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2004,12
2651,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,1
1973,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,2
1089,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,3
1029,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,4
